id,slug,title,short_description,collection_id,is_high_impact,audience,industry_relevance,department,business_impact,status,created_at,updated_at
1,online-web-presence-high-impact,Online Web Presence (High-Impact),"Strengthen your organisation’s website as a trusted digital front door for discovery, engagement, conversion and service across priority customer journeys.",experience,true,"CX, Digital, Marketing & IT leaders","B2B, B2C and public sector organisations with customer-facing web channels","Digital, CX, Marketing & IT","Improves digital visibility, customer trust, lead conversion and service accessibility while reducing friction across web journeys.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
2,online-social-presence-high-impact,Online Social Presence (High-Impact),"Modernise your social presence into a coordinated engagement channel for brand visibility, audience growth, campaign activation and customer dialogue.",experience,true,"Marketing, Communications & CX leaders","organisations using social channels for brand, customer engagement or public communication","Marketing, Communications, CX & Digital","Increases audience reach, content consistency, engagement quality and campaign responsiveness across social channels.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
3,mobile-apps-high-impact,Mobile Apps (High-Impact),"Create or improve mobile app capabilities that make priority services, transactions and engagement journeys easier to access on the move.",experience,true,"Digital Product, CX & Operations leaders","organisations with mobile-first customers, employees, partners or field operations","Digital Product, CX, Operations & IT","Improves mobile adoption, service convenience, journey completion and digital channel performance.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
4,physical-channels-high-impact,Physical Channels (High-Impact),"Connect physical locations, service points and frontline environments with digital experiences that improve engagement, service flow and operational visibility.",experience,true,"Operations, CX & Facilities leaders","organisations operating branches, stores, clinics, offices, venues or service centres","Operations, CX, Facilities & Digital","Enhances physical service productivity, customer experience consistency and visibility across in-person channels.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
5,experience-solutions-high-impact,Integrated Experience (High-Impact),"Design integrated experiences across journeys, content, channels and personalisation to improve customer and employee engagement.",experience,true,"CX, Digital, Product & Marketing leaders","organisations improving customer, employee or stakeholder experience ecosystems","CX, Digital, Product & Transformation","Improves journey consistency, engagement quality, personalisation readiness and experience-led growth.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
6,crm-solutions-high-impact,CRM Solutions (High-Impact),"Improve how your organisation manages prospects, customers, relationships and interactions through modern CRM capabilities and adoption practices.",experience,true,"Sales, Marketing, Service & CX leaders","organisations managing sales pipelines, accounts, customer service or relationship portfolios","Sales, Marketing, Service, CX & IT","Increases pipeline visibility, customer understanding, relationship consistency and revenue operations discipline.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
7,marketing-solutions-high-impact,Marketing Solutions (High-Impact),"Upgrade marketing operations with clearer audience strategy, campaign workflows, performance measurement, automation and AI-enabled activation.",experience,true,"CMOs, Marketing Ops & Growth leaders","organisations seeking measurable, data-driven and scalable marketing operations","Marketing, Growth, Digital & Analytics","Improves campaign performance, marketing productivity, audience targeting and return on marketing investment.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
8,smart-sales-quotation-high-impact,Smart Sales & Quotation (High-Impact),"Streamline sales and quotation workflows from opportunity to proposal, pricing, approval and customer response.",experience,true,"Sales, Commercial & Revenue Ops leaders","organisations with structured sales, pricing, quotation or proposal processes","Sales, Commercial, Revenue Operations & Finance","Accelerates quote turnaround, improves pricing control, reduces manual effort and strengthens sales conversion.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
9,customer-support-success-high-impact,Customer Support & Success (High-Impact),"Strengthen customer support and success operations through better service workflows, knowledge, case handling, aftercare and digital assistance.",experience,true,"Customer Service, Success & CX leaders","organisations operating customer care, support, aftersales or account success functions","Customer Service, Success, CX & Operations","Improves service responsiveness, resolution quality, customer retention and support productivity.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
10,digital-workplace-high-impact,Digital Workplace (High-Impact),"Enable a more productive digital workplace through collaboration, knowledge sharing, workflow enablement, employee experience and secure productivity tools.",operations,true,"HR, IT & Internal Comms leaders","organisations modernising work, collaboration and employee productivity environments","HR, IT, Operations & Internal Communications","Improves collaboration, employee productivity, knowledge access and adoption of digital ways of working.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
11,business-process-automation-high-impact,Business Process Automation (High-Impact),"Identify, design and automate priority business processes to reduce manual work, improve control and accelerate execution across functions.",operations,true,"COOs, Operations & Transformation leaders","organisations with repeatable workflows, approval chains, handoffs or back-office operations","Operations, Transformation, Process Excellence & IT","Reduces process cycle time, manual effort, rework and operational leakage while improving standardisation.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
12,specialized-operations-high-impact,Specialised Operations (High-Impact),"Digitise and optimise specialised operational environments where domain-specific workflows require tailored platforms, controls and automation.",operations,true,Business Unit & Domain Operations leaders,domain-specific operations requiring fit-for-purpose digital enablement,"Business Operations, Domain Functions & Transformation","Improves performance, control and scalability in specialised business functions where generic systems are insufficient.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
13,enterprise-operations-high-impact,Enterprise Operations (High-Impact),"Improve enterprise-wide operational coordination across processes, teams, services and performance management capabilities.",operations,true,"COOs, Strategy & Transformation leaders",organisations seeking enterprise-level operational coherence and execution visibility,"Enterprise Operations, Strategy & Transformation","Improves enterprise coordination, operating visibility, decision speed and execution discipline across functions.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
14,governance-risk-compliance-high-impact,"Governance, Risk & Compliance (High-Impact)","Strengthen governance, risk and compliance capabilities through clearer controls, workflows, evidence management, reporting and assurance mechanisms.",security,true,"Risk, Compliance, Audit & Legal leaders","regulated, risk-sensitive or control-heavy organisations","Governance, Risk, Compliance, Audit & Legal","Reduces compliance exposure, improves control effectiveness, strengthens assurance and accelerates risk response.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
15,enterprise-resource-planning-high-impact,Enterprise Resource Planning (High-Impact),"Modernise ERP-enabled operations across finance, procurement, HR, inventory and core enterprise processes for better integration and control.",operations,true,"CFOs, Finance, Procurement & HR leaders",organisations relying on integrated enterprise resource planning capabilities,"Finance, Procurement, HR, Operations & IT","Improves process integration, data consistency, financial control and operational efficiency across core enterprise functions.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
16,workforce-management-high-impact,Workforce Management (High-Impact),"Improve workforce planning, scheduling, productivity, task allocation and employee coordination across operational teams.",operations,true,"HR, Workforce Planning & Operations leaders","organisations managing distributed, shift-based, field, frontline or knowledge workforces","HR, Workforce Planning, Operations & IT","Improves workforce utilisation, scheduling accuracy, productivity visibility and employee coordination.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
17,enterprise-data-platform-high-impact,Enterprise Data Platform (High-Impact),"Establish the data foundation required for trusted reporting, analytics, AI, integration and operational decision-making.",ai,true,"CDOs, CIOs, Data & Analytics leaders","organisations building governed data platforms, data products or AI-ready foundations","Data, Analytics, AI, Governance & IT","Improves data trust, reuse, governance, platform readiness and the ability to scale analytics and AI.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
18,business-intelligence-analytics-high-impact,Business Intelligence & Analytics (High-Impact),"Turn enterprise data into actionable insight through stronger reporting, dashboards, KPIs, analytics workflows and decision intelligence.",ai,true,"Strategy, Finance & Analytics leaders","organisations seeking better performance visibility, KPIs and data-driven decision-making","Analytics, Strategy, Finance & Operations","Improves management visibility, decision speed, performance tracking and confidence in business insight.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
19,enterprise-ai-automation-high-impact,Enterprise AI & Automation (High-Impact),"Identify and scale practical AI and automation opportunities across workflows, decisions, knowledge work and customer or employee experiences.",ai,true,"CEOs, CIOs, AI & Transformation leaders","organisations ready to adopt AI assistants, agents, automation or cognitive workflows","AI, Automation, Transformation, Operations & IT","Improves productivity, decision support, workflow intelligence and the controlled adoption of enterprise AI.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
20,technology-governance-high-impact,Technology Governance (High-Impact),"Improve technology governance across architecture, standards, portfolio controls, decision rights, assurance and platform lifecycle management.",security,true,"CIOs, Enterprise Architecture & PMO leaders","organisations managing technology portfolios, platforms, vendors and enterprise architecture standards","Technology Governance, Enterprise Architecture & PMO","Improves technology alignment, investment control, architecture quality and delivery governance.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
21,devsecops-automation-high-impact,DevSecOps Automation (High-Impact),"Accelerate secure digital delivery through DevSecOps practices, automation pipelines, environment controls and release governance.",operations,true,"CTOs, Engineering, Security & DevOps leaders","organisations building, integrating or operating digital platforms and software products","Engineering, Security, DevOps & Platform Operations","Improves delivery speed, release quality, security assurance and operational reliability across digital platforms.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
22,it-operations-support-high-impact,IT Operations & Support (High-Impact),"Improve IT service delivery and employee support through better incident handling, knowledge, automation and service management.",experience,true,"CIOs, IT Operations & Service Desk leaders","organisations dependent on reliable IT services, support workflows and operational continuity","IT Operations, Service Management, Infrastructure & Support","Improves service reliability, incident resolution, support productivity and user satisfaction.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
23,farming-operations-high-impact,Farming Operations (High-Impact),"Digitise farming operations across planning, production, field activity, resource use, monitoring and performance management.",operations,true,Agribusiness & Farm Operations leaders,"Farming 4.0: agribusiness, food production, crop operations and agricultural service providers","Agriculture Operations, Production & Technology","Improves yield visibility, resource efficiency, operational planning and farm performance management.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
24,manufacturing-operations-high-impact,Manufacturing Operations (High-Impact),"Improve manufacturing operations across production planning, shopfloor workflows, quality, maintenance, performance visibility and Industry 4.0 readiness.",operations,true,Manufacturing & Plant Operations leaders,"Plant 4.0: manufacturers, industrial operators and production environments","Manufacturing Operations, Quality, Maintenance & Technology","Improves throughput, quality control, downtime visibility, production coordination and operational efficiency.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
25,infrastructure-operations-high-impact,Infrastructure Operations (High-Impact),"Modernise infrastructure operations across assets, maintenance, field work, service reliability, compliance and operational performance.",operations,true,Asset Managers & Infrastructure leaders,"Infrastructure 4.0: utilities, transport, real estate, facilities, energy and asset-intensive operators","Asset Operations, Maintenance, Engineering & Technology","Improves asset reliability, maintenance planning, field productivity and infrastructure service continuity.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
26,government-operations-high-impact,Government Operations (High-Impact),"Improve government operations and citizen services through better service workflows, case management, coordination, governance and digital enablement.",operations,true,Public sector & Digital Government leaders,"Government 4.0: ministries, authorities, agencies, municipalities and public service organisations","Digital Government, Service Delivery, Operations & Policy","Improves citizen service quality, processing efficiency, transparency and cross-agency operational coordination.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
27,hospitality-operations-high-impact,Hospitality Operations (High-Impact),"Digitise hospitality operations across guest journeys, service workflows, staff coordination, facilities, revenue and experience management.",operations,true,Hospitality & Guest Experience leaders,"Hospitality 4.0: hotels, resorts, venues, tourism operators and guest service organisations","Hospitality Operations, Guest Experience & Technology","Improves guest satisfaction, service responsiveness, staff coordination and operational efficiency.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
28,retail-operations-high-impact,Retail Operations (High-Impact),"Modernise retail operations across stores, commerce, inventory, customer engagement, staff productivity and omnichannel execution.",operations,true,"Retail, Commerce & Store Operations leaders","Retail 4.0: retailers, marketplaces, distributors and omnichannel commerce organisations","Retail Operations, Commerce, CX & Technology","Improves sales execution, store productivity, inventory visibility and customer engagement across retail channels.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
29,service-operations-high-impact,Service Operations (High-Impact),"Improve service operations across request intake, scheduling, delivery coordination, field execution, quality control and customer follow-up.",operations,true,Service Operations & Field Service leaders,"Service 4.0: professional, technical, field, maintenance and customer service organisations","Service Operations, Field Service, Customer Experience & Technology","Improves service throughput, scheduling accuracy, delivery quality and customer satisfaction.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
30,logistics-operations-high-impact,Logistics Operations (High-Impact),"Digitise logistics operations across planning, fulfilment, fleet, warehousing, supply chain visibility and exception management.",operations,true,Logistics & Supply Chain leaders,"Logistics 4.0: logistics providers, distributors, supply chain operators and fulfilment organisations","Logistics, Supply Chain, Fulfilment & Technology","Improves fulfilment accuracy, delivery visibility, asset utilisation and supply chain responsiveness.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
31,wellness-operations-high-impact,Wellness Operations (High-Impact),"Improve wellness operations across client or patient journeys, scheduling, service coordination, records, care workflows and engagement.",operations,true,"Wellness, Clinic & Care Operations leaders","Wellness 4.0: wellness providers, clinics, fitness, preventive health and care service organisations","Wellness Operations, Client Experience, Care Coordination & Technology","Improves client experience, scheduling efficiency, care coordination, service quality and operational visibility.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
32,advisory-set,Advisory Set,"A flexible advisory package for diagnosing transformation priorities, clarifying opportunities and building executive alignment across one or more TMaaS capability areas.",operations,false,Executives & Transformation leaders,organisations requiring targeted transformation advisory across multiple capability areas,"Executive, Strategy, Transformation & Technology","Creates leadership alignment, priority clarity and a practical roadmap before larger transformation investment.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
33,design-services-set,Design Services Set,"A flexible design package for turning selected transformation priorities into solution blueprints, journey designs, delivery backlogs and implementation plans.",operations,false,Product Owners & Delivery leaders,organisations requiring solution design across one or more TMaaS capability areas,"Product, Operations, Transformation & Technology","Converts transformation intent into practical designs, delivery scope, governance and execution-ready plans.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
34,deploy-services-set,Deploy Services Set,"A flexible deploy package for implementing selected TMaaS capabilities through managed delivery, configuration, integration, testing and launch support.",operations,false,Delivery Sponsors & Product Owners,"organisations ready to deploy digital, data, automation or operational capabilities","Delivery, Operations, Product & Technology","Accelerates controlled implementation, reduces delivery risk and helps launch usable transformation capabilities.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
35,managed-services-set,Managed Services Set,"A flexible managed services package for operating, supporting and continuously improving selected TMaaS capabilities after launch.",operations,false,Service Owners & Operations leaders,organisations seeking managed operation and continuous improvement of deployed capabilities,"Operations, Service Management, Transformation & Technology","Sustains service performance, adoption, optimisation and operational continuity after implementation.",published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
