id,product_id,sku,slug,variant_name,service_type_id,duration_display,duration_weeks_min,duration_weeks_max,delivery_complexity,implementation_model,badge,positioning,is_default_variant,status,created_at,updated_at
1,1,EXP-ADV-1,online-web-presence-high-impact-assess-1,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how online web presence performs today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
2,1,EXP-DES-2,online-web-presence-high-impact-design-2,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn online web presence goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
3,1,EXP-AI_-3,online-web-presence-high-impact-ai-design-3,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for online web presence, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
4,1,EXP-DEP-4,online-web-presence-high-impact-implementation-4,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed online web presence changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
5,1,EXP-AI_-5,online-web-presence-high-impact-ai-implementation-5,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled online web presence workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
6,1,EXP-MAN-6,online-web-presence-high-impact-managed-service-6,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve online web presence with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
7,2,EXP-ADV-7,online-social-presence-high-impact-assess-7,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how social presence and audience engagement perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
8,2,EXP-DES-8,online-social-presence-high-impact-design-8,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn social presence and audience engagement goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
9,2,EXP-AI_-9,online-social-presence-high-impact-ai-design-9,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for social presence and audience engagement, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
10,2,EXP-DEP-10,online-social-presence-high-impact-implementation-10,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed social presence and audience engagement changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
11,2,EXP-AI_-11,online-social-presence-high-impact-ai-implementation-11,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled social presence and audience engagement workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
12,2,EXP-MAN-12,online-social-presence-high-impact-managed-service-12,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve social presence and audience engagement with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
13,3,EXP-ADV-13,mobile-apps-high-impact-assess-13,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how mobile apps and mobile services perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
14,3,EXP-DES-14,mobile-apps-high-impact-design-14,Design,design,4 Weeks,4,4,high,TMaaS Managed Delivery,Design,"Turn mobile apps and mobile services goals into a delivery-ready blueprint with journeys, workflows, integrations, controls, and an adoption plan your teams can execute.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
15,3,EXP-AI_-15,mobile-apps-high-impact-ai-design-15,AI Design,ai_design,4 Weeks,4,4,high,TMaaS Managed Delivery,AI Design,"Define the AI use cases that matter for mobile apps and mobile services, with data requirements, guardrails, and specifications ready to build.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
16,3,EXP-DEP-16,mobile-apps-high-impact-implementation-16,Deploy,deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,Deploy,"Implement agreed mobile apps and mobile services changes through managed configuration, integration, testing, and controlled launch support.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
17,3,EXP-AI_-17,mobile-apps-high-impact-ai-implementation-17,AI Deploy,ai_deploy,12 Weeks,12,12,high,TMaaS Managed Delivery,AI Deploy,"Put AI-enabled mobile apps and mobile services workflows into production with security, governance, and adoption built in from day one.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
18,3,EXP-MAN-18,mobile-apps-high-impact-managed-service-18,Managed Service,manage,Ongoing,,,medium,TMaaS Managed Delivery,Managed Service,"Run and improve mobile apps and mobile services with ongoing monitoring, reporting, and optimisation so performance keeps pace with your business.",false,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
19,4,EXP-ADV-19,physical-channels-high-impact-assess-19,Assess,advisory,1 Week,1,1,medium,TMaaS Managed Delivery,Assess,"See how physical channels and frontline experience perform today, identify the highest-impact gaps, and leave with prioritised next steps and a practical roadmap.",true,published,2026-06-10 15:31:29.889873+00,2026-06-10 15:31:29.889873+00
